object_id,features,functions,sources
pizza,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry clean cook cut eat hold lie lift move pick pull push put,ocl
plastic bag,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_open aff_pick aff_pull aff_push aff_put,carry clean close cut hold lift open pick pull push put,ocl
plastic_bolt,size_medium,,ycb
plastic_nut,size_medium,,ycb
plate,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lift aff_pick aff_pull aff_push aff_put aff_stir mat_ceramic phys_shape_flat phys_shape_round size_medium,carry clean cook cut eat hold lift pick pull push put stir,ocl ycb
plum,size_medium,,ycb
polar bear,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put aff_sit,carry clean hold lie lift move pull push put sit,ocl
pomegranate,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put,carry clean cook cut eat hold lift move open pick pull push put,ocl
porch,aff_clean,clean,ocl
potato,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry clean cook cut eat hold lift move pick pull push put,ocl
potted_meat_can,geom_cavity mat_metal phys_shape_cylindrical size_medium,,ycb
power_drill,mat_metal phys_shape_cylindrical phys_shape_long size_medium,,ycb
pretzel,aff_carry aff_cook aff_cut aff_eat aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry cook cut eat hold lift pick pull push put,ocl
printer,aff_carry aff_clean aff_close aff_hold aff_lift aff_open aff_pick aff_pull aff_push aff_put,carry clean close hold lift open pick pull push put,ocl
pudding_box,size_medium,,ycb
rabbit,aff_carry aff_clean aff_eat aff_hold aff_lie aff_lift aff_open aff_pull aff_push aff_put aff_sit aff_stir,carry clean eat hold lie lift open pull push put sit stir,ocl
racquetball,phys_shape_round size_medium size_small,,ycb
radio telescope,aff_pick aff_push,pick push,ocl
rain barrel,aff_carry aff_clean aff_cut aff_hold aff_lift aff_open aff_pull aff_push aff_put,carry clean cut hold lift open pull push put,ocl
red panda,aff_carry aff_clean aff_hold aff_lie aff_lift aff_push aff_sit,carry clean hold lie lift push sit,ocl
reel,aff_carry aff_clean aff_cut aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry clean cut hold lift pick pull push put,ocl
refrigerator,aff_clean aff_close aff_hold aff_lift aff_open aff_pull aff_push,clean close hold lift open pull push,ocl
remote control,aff_carry aff_clean aff_close aff_cook aff_cut aff_drink aff_hold aff_lie aff_lift aff_pick aff_pull aff_push aff_put,carry clean close cook cut drink hold lie lift pick pull push put,ocl
rifle,aff_carry aff_clean aff_hold aff_lift aff_push aff_sit,carry clean hold lift push sit,ocl
rocking chair,aff_carry aff_clean aff_cut aff_hold aff_lift aff_pull aff_push aff_put,carry clean cut hold lift pull push put,ocl
rubiks_cube,size_medium,,ycb
rugby ball,aff_carry aff_clean aff_cut aff_hold aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry clean cut hold lift move pick pull push put,ocl
safety pin,aff_carry aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put,carry clean close cut hold lie lift move open pick pull push put,ocl
sandal,aff_carry aff_clean aff_hold aff_lie aff_lift aff_pull aff_push aff_put aff_sit,carry clean hold lie lift pull push put sit,ocl
sandwich,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry clean cook cut eat hold lie lift move pick pull push put,ocl
sarong,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_put,carry clean cut hold lie lift move pick pull put,ocl
saxophone,aff_carry aff_clean aff_hold aff_lie aff_lift aff_sit,carry clean hold lie lift sit,ocl
scarf,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_put,carry clean cut hold lie lift move pick pull put,ocl
scissors,size_medium,,ycb
scoreboard,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean hold lie lift move pick put,ocl
scorpion,aff_carry aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_push aff_put aff_sit,carry cut hold lie lift move pick push put sit,ocl
screw,aff_carry aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_put,carry hold lie lift move open pull push put,ocl
screwdriver,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean hold lie lift move open pick pull push put sit,ocl
sculpture,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick,carry clean cut hold lie lift move pick,ocl
sea lion,aff_hold aff_lie aff_move aff_pull aff_push,hold lie move pull push,ocl
seat belt,aff_carry aff_clean aff_hold aff_lift aff_sit,carry clean hold lift sit,ocl
sewing machine,aff_close aff_cut aff_hold aff_lie aff_move aff_open aff_put,close cut hold lie move open put,ocl
shark,aff_carry aff_clean aff_cook aff_cut aff_hold aff_lie aff_lift aff_move aff_pull aff_put,carry clean cook cut hold lie lift move pull put,ocl
sheep,aff_carry aff_clean aff_cook aff_cut aff_drink aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit aff_stir,carry clean cook cut drink hold lie lift move pick pull push put sit stir,ocl
shield,aff_carry aff_hold aff_lie aff_open aff_push,carry hold lie open push,ocl
shirt,aff_carry aff_clean aff_eat aff_hold aff_lift aff_open aff_pull aff_push aff_sit,carry clean eat hold lift open pull push sit,ocl
shoji,aff_clean aff_close aff_hold aff_lie aff_move aff_open,clean close hold lie move open,ocl
shower,aff_clean aff_close aff_hold aff_lie aff_open,clean close hold lie open,ocl
shower cap,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_put,carry clean cut hold lie lift move pick pull put,ocl
ski,aff_carry aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_put,carry hold lie lift move pick pull put,ocl
ski mask,aff_carry aff_clean aff_eat aff_hold aff_open aff_push,carry clean eat hold open push,ocl
skillet_lid,part_handle size_medium,,ycb
sleeping bag,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pull aff_put,carry clean hold lie lift move pull put,ocl
slide rule,aff_carry aff_hold aff_lie aff_lift aff_move aff_pick aff_push aff_put,carry hold lie lift move pick push put,ocl
small_clamp,part_clamp size_small,,ycb
small_marker,phys_shape_cylindrical size_small,,ycb
snail,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pick aff_push aff_put aff_sit,carry clean hold lie lift move pick push put sit,ocl
snake,aff_carry aff_clean aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit,carry clean cut eat hold lie lift move pick pull push put sit,ocl
snorkel,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_open aff_pick,carry clean hold lie lift move open pick,ocl
snowmobile,aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_sit,clean close cut hold lie lift move open pull push sit,ocl
snowplow,aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_sit,clean close cut hold lie lift move open pull push sit,ocl
soap dispenser,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_push aff_put,carry clean hold lie lift move open pick push put,ocl
sock,aff_carry aff_clean aff_hold aff_pull,carry clean hold pull,ocl
softball,phys_shape_round size_medium size_small,,ycb
solar dish,aff_clean aff_hold aff_lie aff_open aff_pick aff_push aff_put,clean hold lie open pick push put,ocl
sombrero,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean hold lie lift open push sit,ocl
spatula,aff_carry aff_clean aff_hold aff_lift aff_open aff_push aff_sit mat_metal phys_shape_long size_medium size_small,carry clean hold lift open push sit,ocl ycb
spider,aff_carry aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_push aff_put aff_sit,carry hold lie lift move open pick push put sit,ocl
sponge,mat_foam size_medium,,ycb
spoon,mat_metal phys_shape_long size_medium size_small,,ycb
squash,aff_carry aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_push aff_put aff_sit aff_stir,carry cook cut eat hold lie lift move open pick push put sit stir,ocl
squirrel,aff_carry aff_clean aff_eat aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put aff_sit,carry clean eat hold lie lift move pull push put sit,ocl
starfish,aff_carry aff_cook aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry cook cut hold lie lift move pick pull push put,ocl
steel drum,aff_carry aff_clean aff_cut aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry clean cut hold lift pick pull push put,ocl
stethoscope,aff_carry aff_clean aff_hold aff_lift aff_push aff_sit,carry clean hold lift push sit,ocl
strawberry,aff_carry aff_cut aff_eat aff_lift aff_push aff_sit size_medium,carry cut eat lift push sit,ocl ycb
stretcher,aff_clean aff_hold aff_lie aff_lift aff_move aff_open aff_push aff_sit,clean hold lie lift move open push sit,ocl
submarine,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
sugar_box,size_medium,,ycb
suit,aff_carry aff_clean aff_cut aff_hold aff_lift aff_open aff_push aff_sit,carry clean cut hold lift open push sit,ocl
sunglasses,aff_carry aff_clean aff_hold aff_lift aff_open aff_push aff_sit,carry clean hold lift open push sit,ocl
sunscreen,aff_carry aff_open aff_push,carry open push,ocl
swan,aff_carry aff_clean aff_cook aff_cut aff_hold aff_lie aff_lift aff_move aff_put,carry clean cook cut hold lie lift move put,ocl
swimwear,aff_carry aff_clean aff_eat aff_hold aff_lift aff_open aff_pull aff_push aff_sit,carry clean eat hold lift open pull push sit,ocl
swing,aff_hold aff_open aff_sit,hold open sit,ocl
syringe,aff_carry aff_clean aff_eat aff_hold aff_lift aff_open aff_push aff_sit,carry clean eat hold lift open push sit,ocl
tank,aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put aff_sit,clean cut hold lie lift move pull push put sit,ocl
taxi,aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_sit,clean close cut hold lie lift move open pull push sit,ocl
teapot,aff_carry aff_clean aff_eat aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean eat hold lie lift open push sit,ocl
teddy bear,aff_close aff_cut aff_drink aff_hold aff_lie aff_lift aff_move aff_pick aff_push aff_sit,close cut drink hold lie lift move pick push sit,ocl
telephone,aff_carry aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_put aff_sit,carry clean close cut hold lie lift move open pull push put sit,ocl
tennis ball,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean cut hold lie lift open push sit,ocl
tennis_ball,phys_shape_round size_medium size_small,,ycb
tent,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_sit,carry clean hold lie lift open sit,ocl
tick,aff_carry aff_hold aff_lie aff_lift aff_move aff_pick aff_push aff_put aff_sit,carry hold lie lift move pick push put sit,ocl
tie,aff_drink aff_hold aff_lift aff_move aff_pick aff_push,drink hold lift move pick push,ocl
timber wolf,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
timer,size_medium,,ycb
toaster,aff_close aff_cook aff_cut aff_hold aff_move aff_pick aff_push,close cook cut hold move pick push,ocl
toilet paper,aff_carry aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry cut hold lie lift move open pick pull push put sit,ocl
tomato_soup_can,geom_cavity mat_metal phys_shape_cylindrical size_medium,,ycb
tool,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean cook cut eat hold lie lift move open pick pull push put sit,ocl
torch,aff_carry aff_hold aff_lie aff_lift aff_move aff_push aff_put,carry hold lie lift move push put,ocl
towel,aff_carry aff_eat aff_hold aff_lift aff_open aff_pull aff_push aff_sit,carry eat hold lift open pull push sit,ocl
tower,aff_clean aff_hold aff_lift aff_open,clean hold lift open,ocl
toy_airplane,size_medium,,ycb
traffic light,aff_close aff_eat,close eat,ocl
train,aff_carry aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cut hold lie lift move open pick pull push put sit,ocl
tripod,aff_carry aff_clean aff_eat aff_hold aff_lie aff_lift aff_push aff_sit,carry clean eat hold lie lift push sit,ocl
trombone,aff_carry aff_clean aff_hold aff_lift aff_move aff_pull aff_push aff_put aff_sit,carry clean hold lift move pull push put sit,ocl
truck,aff_carry aff_clean aff_close aff_cook aff_cut aff_drink aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cook cut drink eat hold lie lift move open pick pull push put sit,ocl
trumpet,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean hold lie lift open push sit,ocl
tuna_fish_can,geom_cavity mat_metal phys_shape_cylindrical size_medium,,ycb
turnstile,aff_hold aff_lie,hold lie,ocl
turtle,aff_carry aff_hold aff_lie aff_lift aff_move aff_pick aff_push aff_put aff_sit,carry hold lie lift move pick push put sit,ocl
umbrella,aff_carry aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry close cut hold lie lift move open pick pull push put sit,ocl
unicycle,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean hold lie lift open push sit,ocl
vase,aff_cut aff_drink aff_pick aff_push aff_put aff_sit,cut drink pick push put sit,ocl
vegetable,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_push aff_put aff_sit aff_stir,carry clean cook cut eat hold lie lift move open pick push put sit stir,ocl
vehicle,aff_carry aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cut hold lie lift move open pick pull push put sit,ocl
vending machine,aff_close aff_hold aff_lie aff_move aff_open aff_pick aff_push aff_put aff_sit,close hold lie move open pick push put sit,ocl
vestment,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
violin,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_sit,carry clean hold lie lift move open pull push sit,ocl
volleyball,aff_carry aff_clean aff_cut aff_hold aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry clean cut hold lift move pick pull push put,ocl
waffle iron,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_open aff_pick aff_put,carry clean cook cut eat hold open pick put,ocl
wall clock,aff_carry aff_clean aff_close aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean close hold lie lift open push sit,ocl
wallaby,aff_carry aff_clean aff_hold aff_lift aff_move aff_pull aff_push aff_put aff_sit,carry clean hold lift move pull push put sit,ocl
wallet,aff_carry aff_hold aff_open aff_push,carry hold open push,ocl
wardrobe,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_move aff_open aff_pull aff_push aff_put aff_sit,carry clean close cut hold lift move open pull push put sit,ocl
warthog,aff_clean aff_hold aff_lift aff_move aff_pull aff_push aff_put aff_sit,clean hold lift move pull push put sit,ocl
washing machine,aff_clean aff_close aff_hold aff_lie aff_move aff_open aff_pull aff_push aff_put aff_sit,clean close hold lie move open pull push put sit,ocl
watch,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_pick aff_push aff_sit,carry clean hold lie lift open pick push sit,ocl
weapon,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean hold lie lift move open pick pull push put sit,ocl
whale,aff_cut aff_lift aff_move aff_pull aff_push aff_put aff_sit,cut lift move pull push put sit,ocl
wheel,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_pick aff_pull aff_push aff_sit,carry clean hold lie lift open pick pull push sit,ocl
whistle,aff_carry aff_hold aff_lift aff_open aff_push,carry hold lift open push,ocl
wild boar,aff_clean aff_hold aff_lift aff_move aff_pull aff_push aff_put aff_sit,clean hold lift move pull push put sit,ocl
windex_bottle,geom_cavity mat_glass mat_metal phys_shape_cylindrical size_medium,,ycb
window shade,aff_close aff_move aff_open,close move open,ocl
wine,aff_carry aff_drink aff_eat aff_lie aff_lift aff_move aff_open aff_push aff_sit,carry drink eat lie lift move open push sit,ocl
wine_glass,geom_cavity mat_ceramic mat_glass part_handle phys_shape_cylindrical size_medium,,ycb
wok,aff_carry aff_eat aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry eat hold lie lift open push sit,ocl
wood_block,mat_wood phys_shape_boxy size_medium,,ycb
wooden spoon,aff_carry aff_clean aff_cut aff_drink aff_eat aff_hold aff_lift aff_move aff_open aff_pick aff_push aff_stir,carry clean cut drink eat hold lift move open pick push stir,ocl
wool,aff_carry aff_clean aff_put,carry clean put,ocl
worm,aff_carry aff_hold aff_lie aff_lift aff_pull aff_push aff_sit,carry hold lie lift pull push sit,ocl
yawl,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit,carry clean cut hold lie lift move pick pull push put sit,ocl
yurt,aff_clean aff_close aff_lie,clean close lie,ocl
zebra,aff_carry aff_clean aff_close aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cook cut eat hold lie lift move pick pull push put sit,ocl
