instance_name,inv_weight,inv_roughness
cup_3_8,-0.099,-0.2271899541130719
cup_10_7,-0.058,-0.2435296977028156
metal_box_1_9,-0.041,-0.2146643130874308
ball_5_9,-0.059,-0.1078117489848667
ball_1_7,-0.096,-0.1274591848823029
bowl_1_7,-0.264,-0.2188181592412769
cup_6_7,-0.302,-0.2313117489848669
plastic_box_9_6,-0.072,-0.276613031036149
cup_5_9,-0.318,-0.253465595138713
plastic_box_9_5,-0.072,-0.2784784156515335
tray_3_8,-0.489,-0.2764014925746105
ball_9_7,-0.012,-0.1529079028310208
to_go_cup_2_2,-0.014,-0.3069399541130718
tray_8_5,-0.072,-0.3734335438566617
bowl_4_7,-0.282,-0.1961258515489696
tray_10_4,-0.187,-0.2608053387284565
plastic_box_7_7,-0.109,-0.2401258515489694
to_go_cup_7_10,-0.032,-0.2314591848823027
cup_5_7,-0.318,-0.2306514925746103
bowl_4_2,-0.282,-0.2146194412925589
book_3_1,-1.043,-0.2754014925746106
plate_3_10,-0.656,-0.213914313087431
plastic_box_3_5,-0.101,-0.2296066207797385
plastic_box_9_4,-0.072,-0.2765489284720462
plastic_box_8_2,-0.092,-0.2787732874464052
plastic_box_5_9,-0.022,-0.2600617489848667
bowl_2_10,-0.343,-0.2233438002669182
paper_box_7_10,-0.044,-0.2618373900105077
sponge_2_8,-0.012,-0.4376386720617899
metal_box_7_5,-0.076,-0.2324014925746104
plate_8_8,-0.543,-0.2519655951387129
to_go_cup_4_5,-0.01,-0.229664313087431
ball_3_3,-0.05,-0.1839784156515334
to_go_cup_1_2,-0.013,-0.2843950823182003
plastic_box_1_8,-0.048,-0.2887796977028158
sponge_5_10,-0.005,-0.3605745694976873
metal_box_7_8,-0.076,-0.2610232874464053
cup_7_1,-0.239,-0.1982220053951232
cup_9_3,-0.324,-0.2258117489848667
to_go_cup_3_2,-0.046,-0.2339079028310206
plate_10_6,-0.389,-0.2046066207797387
ball_7_5,-0.069,-0.1078502105233283
paper_box_10_7,-0.02,-0.2449527746258924
to_go_cup_6_5,-0.019,-0.2036130310361488
bowl_8_8,-0.244,-0.1979720053951234
metal_box_2_5,-0.098,-0.2828886720617897
bowl_10_6,-0.505,-0.2481322618053798
cup_10_1,-0.058,-0.2730296977028155
metal_box_1_8,-0.041,-0.2159014925746106
ball_1_8,-0.096,-0.1112155951387127
cup_2_8,-0.201,-0.2597284156515334
metal_box_4_9,-0.085,-0.2118566207797387
sponge_4_9,-0.003,-0.5432091848823029
plate_7_7,-0.019,-0.3443053387284564
cup_1_10,-0.218,-0.2787861079592259
tray_2_7,-0.554,-0.2603181592412772
ball_1_9,-0.096,-0.1359271336002514
cup_3_2,-0.099,-0.2371835438566615
tray_10_1,-0.187,-0.2697476464207643
cup_4_9,-0.13,-0.2337861079592258
tray_9_9,-0.245,-0.2285104669335848
ball_9_3,-0.012,-0.09788226180537962
book_3_5,-1.043,-0.2771386720617899
plastic_box_10_1,-0.026,-0.2914784156515335
tray_9_4,-0.245,-0.2339014925746103
metal_box_6_1,-0.152,-0.2794463643694822
sponge_2_1,-0.012,-0.4453502105233282
book_8_6,-0.317,-0.2422220053951231
paper_box_1_4,-0.011,-0.2489784156515336
to_go_cup_1_4,-0.013,-0.2886579028310207
ball_2_10,-0.058,-0.1317220053951234
bowl_9_9,-0.548,-0.2217348259079438
plate_5_8,-0.436,-0.2050681592412771
ball_4_10,-0.014,-0.1152925182156359
cup_8_6,-0.166,-0.2600296977028158
plate_6_3,-0.61,-0.2606002105233283
sponge_9_2,-0.013,-0.4020938002669182
cup_9_4,-0.324,-0.2270489284720462
paper_box_7_3,-0.044,-0.3269784156515336
book_6_6,-0.896,-0.2316835438566616
paper_box_6_3,-0.015,-0.2403053387284567
bowl_7_5,-0.028,-0.2664527746258925
plate_7_8,-0.019,-0.3480489284720463
paper_box_9_4,-0.674,-0.2183309797540976
plate_3_8,-0.656,-0.2044976464207645
tray_8_4,-0.072,-0.3556130310361487
tray_9_10,-0.245,-0.2498117489848669
bowl_3_7,-0.222,-0.2240361079592257
ball_10_3,-0.033,-0.09553610795922582
paper_box_5_1,-0.017,-0.2375425182156358
book_2_7,-0.617,-0.2367861079592257
cup_4_4,-0.13,-0.2374784156515335
book_6_4,-0.896,-0.2225489284720462
plastic_box_10_8,-0.026,-0.256741236164354
cup_4_8,-0.13,-0.2309271336002514
paper_box_5_7,-0.017,-0.2352604669335848
tray_5_4,-0.167,-0.2258502105233283
ball_2_6,-0.058,-0.1220168771899949
to_go_cup_5_6,-0.007,-0.3249591848823025
metal_box_4_3,-0.085,-0.227593800266918
sponge_1_1,-0.005,-0.3821899541130721
paper_box_1_6,-0.011,-0.2831771336002514
bowl_4_3,-0.282,-0.2138950823182001
to_go_cup_5_9,-0.007,-0.374068159241277
paper_box_7_5,-0.044,-0.2619655951387131
paper_box_4_3,-0.044,-0.2728822618053798
ball_2_3,-0.058,-0.1093630310361488
cup_1_4,-0.218,-0.2886579028310207
book_7_6,-0.465,-0.239189954113072
ball_8_9,-0.057,-0.1357348259079438
book_5_1,-0.265,-0.2378053387284568
paper_box_7_2,-0.044,-0.2859335438566617
ball_2_9,-0.058,-0.1156707233438411
ball_4_7,-0.014,-0.139343800266918
to_go_cup_6_1,-0.019,-0.2168181592412773
book_10_1,-0.501,-0.2947027746258922
sponge_10_10,-0.012,-0.3113694412925593
plate_7_2,-0.019,-0.3520681592412773
tray_10_9,-0.187,-0.2340553387284566
paper_box_1_2,-0.011,-0.2739655951387129
book_1_4,-0.589,-0.2656002105233286
ball_8_6,-0.057,-0.1460168771899951
metal_box_4_10,-0.085,-0.2119014925746102
cup_2_5,-0.201,-0.2993053387284567
tray_5_9,-0.167,-0.2369591848823026
sponge_2_2,-0.012,-0.4278822618053797
metal_box_6_3,-0.152,-0.2876322618053798
cup_7_3,-0.239,-0.2037796977028154
bowl_9_7,-0.548,-0.2267861079592257
sponge_6_2,-0.008,-0.3653053387284565
ball_7_6,-0.069,-0.1074463643694821
sponge_4_1,-0.003,-0.5419014925746104
plastic_box_6_8,-0.055,-0.2831643130874308
bowl_9_1,-0.548,-0.2254848259079437
book_2_4,-0.617,-0.2281514925746105
plate_9_7,-0.177,-0.2568438002669183
cup_9_1,-0.324,-0.237863031036149
book_9_5,-0.686,-0.2558822618053797
cup_1_5,-0.218,-0.2823950823182001
plate_5_7,-0.436,-0.1929655951387131
tray_4_1,-0.168,-0.236619441292559
cup_3_9,-0.099,-0.2246514925746105
metal_box_5_2,-0.232,-0.281760466933585
to_go_cup_1_6,-0.013,-0.2780809797540977
book_1_9,-0.589,-0.2309271336002514
ball_6_2,-0.058,-0.1150104669335848
plate_9_2,-0.177,-0.2756322618053795
plastic_box_3_3,-0.101,-0.2200938002669182
plate_7_9,-0.019,-0.3328117489848669
to_go_cup_9_6,-0.037,-0.2796707233438411
paper_box_3_3,-0.015,-0.3447796977028154
book_10_4,-0.501,-0.2649463643694819
metal_box_9_10,-0.167,-0.4849848259079438
tray_9_7,-0.245,-0.2303502105233283
book_4_6,-0.612,-0.2887091848823026
ball_6_3,-0.058,-0.1061130310361489
sponge_8_8,-0.008,-0.3711514925746104
cup_6_8,-0.302,-0.2216258515489694
ball_2_5,-0.058,-0.1077091848823026
plastic_box_9_2,-0.072,-0.2995681592412771
sponge_2_7,-0.012,-0.4318630310361488
book_8_4,-0.317,-0.2751707233438411
tray_1_10,-0.446,-0.2960040566771745
bowl_7_3,-0.028,-0.2675296977028155
paper_box_3_9,-0.015,-0.3251579028310204
cup_3_3,-0.099,-0.2283373900105078
paper_box_6_5,-0.015,-0.239042518215636
tray_7_2,-0.022,-0.2419014925746104
sponge_4_3,-0.003,-0.5641450823182003
plastic_box_4_4,-0.026,-0.2285104669335848
metal_box_9_7,-0.167,-0.2307027746258926
cup_7_10,-0.239,-0.1928758515489694
to_go_cup_4_1,-0.01,-0.2284463643694822
bowl_9_3,-0.548,-0.2267412361643541
metal_box_7_6,-0.076,-0.2312348259079438
paper_box_3_2,-0.015,-0.3150938002669182
ball_9_1,-0.012,-0.1107027746258924
cup_4_3,-0.13,-0.2379976464207641
tray_6_7,-0.312,-0.4002091848823025
plate_3_5,-0.656,-0.2070617489848666
plastic_box_1_3,-0.048,-0.2807668771899951
paper_box_7_4,-0.044,-0.2705745694976873
plastic_box_8_6,-0.092,-0.2905938002669181
metal_box_3_7,-0.146,-0.2398758515489695
to_go_cup_3_7,-0.046,-0.2282989284720462
cup_6_5,-0.302,-0.2201002105233285
ball_10_2,-0.033,-0.1078694412925592
tray_9_2,-0.245,-0.2414591848823026
paper_box_4_4,-0.044,-0.2762732874464051
bowl_6_5,-0.05,-0.259766877189995
book_10_8,-0.501,-0.2852284156515335
paper_box_9_5,-0.674,-0.2093117489848669
plate_10_8,-0.389,-0.2145361079592258
to_go_cup_5_8,-0.007,-0.3133822618053798
metal_box_8_5,-0.101,-0.2141643130874309
ball_9_8,-0.012,-0.1158630310361487
book_1_3,-0.589,-0.2640232874464052
to_go_cup_8_6,-0.03,-0.2600296977028158
plate_9_1,-0.177,-0.3029014925746105
cup_3_5,-0.099,-0.2285040566771745
sponge_8_3,-0.008,-0.3831835438566618
plate_8_1,-0.543,-0.2810745694976872
bowl_5_9,-0.035,-0.2868886720617898
plate_4_8,-0.343,-0.2207027746258926
bowl_7_1,-0.028,-0.3177796977028157
plate_9_4,-0.177,-0.2634976464207642
sponge_1_9,-0.005,-0.3496066207797387
book_10_10,-0.501,-0.2952348259079435
to_go_cup_6_8,-0.019,-0.2216066207797385
metal_box_4_7,-0.085,-0.2268181592412773
ball_8_1,-0.057,-0.1457476464207641
bowl_6_10,-0.05,-0.2527604669335848
book_4_10,-0.612,-0.2630168771899949
sponge_1_10,-0.005,-0.3342989284720465
plastic_box_2_3,-0.012,-0.2621835438566616
ball_10_4,-0.033,-0.109920723343841
metal_box_10_6,-0.058,-0.275869441292559
sponge_1_4,-0.005,-0.3493566207797386
book_7_9,-0.465,-0.241266877189995
plate_7_4,-0.019,-0.3310938002669181
plate_8_2,-0.543,-0.2584784156515333
to_go_cup_5_3,-0.007,-0.294016877189995
paper_box_4_1,-0.044,-0.2871899541130718
book_5_5,-0.265,-0.2491579028310207
plate_5_3,-0.436,-0.2025361079592259
book_1_10,-0.589,-0.2680104669335849
metal_box_10_2,-0.058,-0.2729784156515336
paper_box_8_10,-0.02,-0.1569014925746103
ball_9_5,-0.012,-0.09307456949768728
to_go_cup_9_1,-0.037,-0.2706579028310207
book_8_3,-0.317,-0.2773117489848667
tray_2_5,-0.554,-0.2628694412925592
cup_7_8,-0.239,-0.1935617489848666
metal_box_6_7,-0.152,-0.2849720053951231
metal_box_9_5,-0.167,-0.2500617489848668
book_8_5,-0.317,-0.2726450823182003
tray_3_6,-0.489,-0.2926066207797386
ball_9_9,-0.012,-0.09437585154896953
cup_5_5,-0.318,-0.2241386720617899
metal_box_10_3,-0.058,-0.2727091848823028
to_go_cup_10_3,-0.059,-0.2313950823182004
tray_10_2,-0.187,-0.2764527746258924
ball_6_10,-0.058,-0.1318245694976875
book_1_2,-0.589,-0.279068159241277
sponge_1_8,-0.005,-0.3555809797540976
sponge_3_9,-0.007,-0.6375168771899951
cup_8_1,-0.166,-0.2432540566771745
sponge_5_1,-0.005,-0.4588694412925592
sponge_9_6,-0.013,-0.3965040566771745
plastic_box_2_6,-0.012,-0.290292518215636
metal_box_7_9,-0.076,-0.2723053387284564
cup_8_7,-0.166,-0.2640296977028155
to_go_cup_8_3,-0.03,-0.2651579028310208
ball_7_3,-0.069,-0.1043373900105079
cup_8_9,-0.166,-0.2526194412925591
cup_2_9,-0.201,-0.3352861079592258
book_5_6,-0.265,-0.2199976464207641
metal_box_10_4,-0.058,-0.2798373900105077
metal_box_10_9,-0.058,-0.2939720053951234
ball_10_7,-0.033,-0.102689954113072
ball_4_9,-0.014,-0.1159079028310206
book_8_8,-0.317,-0.2676066207797387
metal_box_7_10,-0.076,-0.2360938002669181
paper_box_10_9,-0.02,-0.2303245694976873
tray_3_9,-0.489,-0.3084784156515333
ball_5_6,-0.059,-0.0999848259079439
plate_4_7,-0.343,-0.2182155951387131
ball_6_8,-0.058,-0.1249655951387131
sponge_6_8,-0.008,-0.3550104669335848
bowl_10_3,-0.505,-0.2369655951387132
sponge_6_4,-0.008,-0.3738373900105075
plastic_box_6_7,-0.055,-0.2918438002669179
plastic_box_2_8,-0.012,-0.3060809797540976
to_go_cup_9_4,-0.037,-0.263292518215636
book_1_7,-0.589,-0.2557220053951234
bowl_3_4,-0.222,-0.2423758515489694
bowl_3_8,-0.222,-0.2254976464207644
plate_8_5,-0.543,-0.2721002105233284
sponge_7_10,-0.011,-0.2686579028310206
metal_box_1_4,-0.041,-0.2166386720617898
metal_box_1_6,-0.041,-0.2140809797540974
metal_box_2_2,-0.098,-0.2819655951387129
metal_box_8_2,-0.101,-0.3048630310361488
bowl_5_1,-0.035,-0.2707732874464052
sponge_2_10,-0.012,-0.4403758515489695
to_go_cup_7_7,-0.032,-0.2347476464207642
sponge_3_2,-0.007,-0.5745425182156358
book_5_8,-0.265,-0.2204591848823028
plastic_box_8_3,-0.092,-0.2741963643694824
cup_7_9,-0.239,-0.1925873900105079
sponge_8_7,-0.008,-0.3685681592412771
plastic_box_6_3,-0.055,-0.2892540566771745
plate_6_7,-0.61,-0.2576194412925591
sponge_9_8,-0.013,-0.4232989284720463
sponge_10_7,-0.012,-0.3201707233438411
cup_3_10,-0.099,-0.2276258515489693
paper_box_10_4,-0.02,-0.2435809797540975
plastic_box_10_6,-0.026,-0.2652604669335846
plate_9_3,-0.177,-0.2739784156515335
metal_box_8_9,-0.101,-0.2268053387284567
book_8_9,-0.317,-0.2711002105233284
book_6_2,-0.896,-0.2292861079592258
ball_6_9,-0.058,-0.1382540566771746
to_go_cup_3_6,-0.046,-0.2907989284720463
cup_10_10,-0.058,-0.234016877189995
book_1_5,-0.589,-0.258619441292559
tray_1_2,-0.446,-0.280613031036149
cup_6_9,-0.302,-0.2285745694976876
metal_box_8_4,-0.101,-0.2144912361643542
metal_box_4_5,-0.085,-0.2078502105233283
tray_10_6,-0.187,-0.261991236164354
cup_9_10,-0.324,-0.2219463643694821
plastic_box_6_4,-0.055,-0.2719079028310208
metal_box_6_6,-0.152,-0.2911899541130719
plate_4_9,-0.343,-0.2210040566771744
sponge_8_5,-0.008,-0.3687091848823028
plastic_box_5_3,-0.022,-0.265215595138713
metal_box_5_5,-0.232,-0.2323245694976872
to_go_cup_1_9,-0.013,-0.2822091848823028
tray_5_5,-0.167,-0.2323117489848669
tray_10_10,-0.187,-0.2466707233438411
plate_5_6,-0.436,-0.2000873900105077
book_4_3,-0.612,-0.2626963643694822
bowl_4_5,-0.282,-0.211068159241277
cup_8_10,-0.166,-0.2582091848823029
sponge_10_8,-0.012,-0.3225361079592258
cup_10_4,-0.058,-0.2502348259079438
tray_4_6,-0.168,-0.2252540566771745
sponge_4_2,-0.003,-0.6598950823181999
sponge_3_10,-0.007,-0.5490361079592259
tray_3_3,-0.489,-0.2949207233438411
tray_3_2,-0.489,-0.2754463643694822
ball_10_5,-0.033,-0.09513226180537966
metal_box_6_2,-0.152,-0.2684527746258923
plate_10_2,-0.389,-0.2185809797540974
plate_9_5,-0.177,-0.2586450823182
sponge_1_3,-0.005,-0.3487989284720464
metal_box_4_2,-0.085,-0.2259527746258924
book_2_5,-0.617,-0.2269271336002514
ball_3_1,-0.05,-0.1708373900105077
metal_box_10_1,-0.058,-0.2885873900105079
to_go_cup_4_7,-0.01,-0.2497284156515335
cup_2_2,-0.201,-0.3069399541130718
ball_3_2,-0.05,-0.182593800266918
tray_4_2,-0.168,-0.2419014925746104
to_go_cup_4_4,-0.01,-0.2374784156515335
cup_5_6,-0.318,-0.2353373900105079
cup_4_10,-0.13,-0.2292668771899949
to_go_cup_1_10,-0.013,-0.2787861079592259
metal_box_9_8,-0.167,-0.2328438002669181
plate_8_6,-0.543,-0.2684079028310207
tray_8_2,-0.072,-0.3437027746258926
plate_8_3,-0.543,-0.2584527746258924
book_9_3,-0.686,-0.2703309797540977
sponge_4_7,-0.003,-0.5349207233438412
tray_3_4,-0.489,-0.2922091848823027
book_5_2,-0.265,-0.2272027746258925
plate_6_10,-0.61,-0.2654014925746103
bowl_10_10,-0.505,-0.254920723343841
sponge_3_4,-0.007,-0.5559784156515335
plastic_box_3_9,-0.101,-0.2448053387284567
cup_9_5,-0.324,-0.2307668771899948
tray_2_3,-0.554,-0.2418502105233284
paper_box_1_7,-0.011,-0.2734784156515335
plate_1_6,-0.17,-0.2237925182156359
plate_1_7,-0.17,-0.2040040566771743
tray_6_6,-0.312,-0.3603245694976875
book_7_4,-0.465,-0.2378694412925591
tray_6_5,-0.312,-0.3782796977028156
to_go_cup_10_4,-0.059,-0.2502348259079438
metal_box_6_8,-0.152,-0.2894591848823028
plate_7_1,-0.019,-0.4108438002669181
tray_9_5,-0.245,-0.2359143130874308
cup_10_6,-0.058,-0.2304271336002515
paper_box_9_10,-0.674,-0.1603694412925591
plate_10_1,-0.389,-0.2279271336002514
paper_box_6_4,-0.015,-0.2428886720617897
bowl_10_7,-0.505,-0.2494335438566617
ball_5_5,-0.059,-0.1112476464207642
bowl_3_10,-0.222,-0.2281771336002515
metal_box_10_10,-0.058,-0.2946963643694822
book_10_9,-0.501,-0.2801386720617898
tray_10_8,-0.187,-0.2884463643694822
sponge_8_6,-0.008,-0.3694848259079438
sponge_9_4,-0.013,-0.3942027746258926
ball_10_8,-0.033,-0.09593995411307198
sponge_2_9,-0.012,-0.4278950823182001
plate_10_3,-0.389,-0.218613031036149
tray_6_2,-0.312,-0.3320361079592258
bowl_6_6,-0.05,-0.2539976464207643
paper_box_4_6,-0.044,-0.2705232874464054
to_go_cup_7_9,-0.032,-0.2345745694976872
ball_6_4,-0.058,-0.1182091848823028
cup_4_7,-0.13,-0.2497284156515335
cup_6_4,-0.302,-0.2224527746258924
book_6_1,-0.896,-0.2433502105233284
bowl_2_2,-0.343,-0.2473886720617897
plastic_box_6_5,-0.055,-0.2895361079592259
plastic_box_3_4,-0.101,-0.2206066207797385
plastic_box_1_6,-0.048,-0.2896963643694823
plastic_box_4_6,-0.026,-0.2274014925746104
metal_box_8_7,-0.101,-0.5513886720617898
to_go_cup_8_10,-0.03,-0.2582091848823029
cup_2_1,-0.201,-0.2469335438566616
plastic_box_5_1,-0.022,-0.2469784156515332
sponge_5_5,-0.005,-0.3557027746258924
cup_6_3,-0.302,-0.2296579028310207
plastic_box_4_3,-0.026,-0.2182155951387131
metal_box_7_3,-0.076,-0.2355425182156362
metal_box_1_10,-0.041,-0.2080489284720462
bowl_5_6,-0.035,-0.2775617489848671
plastic_box_4_1,-0.026,-0.2558950823182
paper_box_2_2,-0.054,-0.256363031036149
tray_1_3,-0.446,-0.2546963643694822
sponge_2_5,-0.012,-0.4282284156515334
paper_box_5_4,-0.017,-0.2334079028310206
paper_box_8_8,-0.02,-0.1532668771899951
tray_3_7,-0.489,-0.2912348259079435
plastic_box_2_7,-0.012,-0.2720681592412771
bowl_5_10,-0.035,-0.2748181592412771
cup_5_3,-0.318,-0.2592027746258925
plastic_box_2_10,-0.012,-0.2631066207797387
tray_4_7,-0.168,-0.2178502105233285
paper_box_5_9,-0.017,-0.2368630310361488
bowl_2_1,-0.343,-0.2741771336002514
sponge_3_1,-0.007,-0.06701046693358466
cup_5_1,-0.318,-0.2636066207797384
paper_box_1_1,-0.011,-0.2763373900105079
paper_box_1_5,-0.011,-0.2386386720617898
book_6_5,-0.896,-0.2279848259079439
bowl_8_9,-0.244,-0.1953950823182001
to_go_cup_2_1,-0.014,-0.2469335438566616
plastic_box_9_7,-0.072,-0.2783630310361488
bowl_5_8,-0.035,-0.3047540566771744
bowl_2_9,-0.343,-0.2236386720617899
bowl_10_5,-0.505,-0.2343566207797387
plate_4_5,-0.343,-0.2176643130874306
ball_7_9,-0.069,-0.1640617489848668
bowl_4_4,-0.282,-0.2076963643694823
bowl_4_9,-0.282,-0.2074527746258925
ball_9_6,-0.012,-0.1230361079592258
bowl_8_5,-0.244,-0.1966514925746105
metal_box_1_3,-0.041,-0.2141963643694821
paper_box_6_9,-0.015,-0.2419399541130717
bowl_9_8,-0.548,-0.1985296977028156
metal_box_4_1,-0.085,-0.57063867206179
ball_4_5,-0.014,-0.1367861079592259
plate_2_2,-0.331,-0.237568159241277
metal_box_7_2,-0.076,-0.2483758515489693
cup_4_6,-0.13,-0.2243758515489696
book_6_7,-0.896,-0.2286643130874308
bowl_4_10,-0.282,-0.1974463643694822
book_4_4,-0.612,-0.2623886720617899
paper_box_8_1,-0.02,-0.1601258515489693
plastic_box_3_6,-0.101,-0.1947540566771747
plate_8_10,-0.543,-0.2639655951387129
sponge_10_9,-0.012,-0.2698181592412771
tray_9_8,-0.245,-0.2490040566771746
book_3_4,-1.043,-0.2860617489848668
plate_1_9,-0.17,-0.201215595138713
bowl_2_8,-0.343,-0.2324335438566617
plastic_box_2_9,-0.012,-0.2895553387284566
plastic_box_2_1,-0.012,-0.2661835438566617
plastic_box_7_10,-0.109,-0.2464912361643541
cup_9_2,-0.324,-0.2288181592412771
sponge_7_9,-0.011,-0.2749912361643541
paper_box_8_2,-0.02,-0.1542155951387129
plate_1_8,-0.17,-0.2192796977028156
metal_box_8_8,-0.101,-0.2296066207797385
plate_9_10,-0.177,-0.2437091848823029
tray_10_7,-0.187,-0.2562476464207643
ball_3_9,-0.05,-0.1943309797540976
paper_box_2_9,-0.054,-0.2553373900105078
book_3_2,-1.043,-0.2758117489848667
book_3_3,-1.043,-0.2720425182156362
metal_box_3_9,-0.146,-0.2605232874464051
tray_2_1,-0.554,-0.2660232874464054
metal_box_6_5,-0.152,-0.283689954113072
cup_3_6,-0.099,-0.2407155951387131
cup_1_7,-0.218,-0.2783822618053794
sponge_10_2,-0.012,-0.3584143130874308
metal_box_6_4,-0.152,-0.2945553387284565
bowl_6_2,-0.05,-0.2781771336002515
plastic_box_10_3,-0.026,-0.2749335438566619
to_go_cup_7_3,-0.032,-0.247869441292559
book_5_3,-0.265,-0.2222348259079438
plastic_box_6_6,-0.055,-0.3068373900105077
plate_6_1,-0.61,-0.2872091848823027
cup_10_3,-0.058,-0.2313950823182004
cup_9_7,-0.324,-0.223593800266918
to_go_cup_1_1,-0.013,-0.2820681592412771
tray_8_10,-0.072,-0.3937989284720461
sponge_9_9,-0.013,-0.4215104669335847
paper_box_6_1,-0.015,-0.2563566207797384
sponge_5_4,-0.005,-0.4609720053951232
plate_2_3,-0.331,-0.2305553387284568
sponge_10_1,-0.012,-0.3426771336002514
to_go_cup_6_6,-0.019,-0.2066771336002514
tray_10_5,-0.187,-0.2477989284720464
bowl_3_9,-0.222,-0.2478502105233284
metal_box_5_6,-0.232,-0.2338245694976872
to_go_cup_9_2,-0.037,-0.2623053387284564
book_7_8,-0.465,-0.2386002105233285
plate_1_1,-0.17,-0.2676707233438412
paper_box_9_9,-0.674,-0.2155040566771744
book_7_10,-0.465,-0.2339143130874312
metal_box_2_8,-0.098,-0.2661771336002514
book_3_9,-1.043,-0.2825040566771745
plastic_box_3_2,-0.101,-0.2201450823182001
book_2_1,-0.617,-0.2408438002669179
plastic_box_7_8,-0.109,-0.2447412361643538
to_go_cup_1_3,-0.013,-0.2885809797540976
paper_box_6_2,-0.015,-0.2438502105233283
metal_box_6_10,-0.152,-0.2854399541130718
plate_7_6,-0.019,-0.3466002105233283
ball_4_4,-0.014,-0.1403181592412773
tray_2_10,-0.554,-0.287093800266918
tray_9_1,-0.245,-0.247093800266918
plastic_box_10_7,-0.026,-0.3164271336002512
paper_box_8_6,-0.02,-0.1508245694976872
paper_box_2_6,-0.054,-0.2435040566771744
paper_box_4_5,-0.044,-0.2693117489848669
tray_9_3,-0.245,-0.2500681592412771
to_go_cup_6_4,-0.019,-0.2081258515489694
book_9_4,-0.686,-0.2745168771899948
cup_1_1,-0.218,-0.2820681592412771
plastic_box_3_10,-0.101,-0.2284591848823029
metal_box_2_10,-0.098,-0.2379399541130719
sponge_6_10,-0.008,-0.3555873900105077
ball_5_3,-0.059,-0.1156002105233282
ball_10_9,-0.033,-0.102542518215636
cup_2_3,-0.201,-0.2599207233438413
to_go_cup_1_7,-0.013,-0.2783822618053794
ball_1_6,-0.096,-0.1129463643694821
bowl_6_9,-0.05,-0.2661450823182001
ball_5_1,-0.059,-0.1150809797540976
ball_2_4,-0.058,-0.09887585154896954
tray_5_1,-0.167,-0.2418117489848669
bowl_10_1,-0.505,-0.2834848259079438
bowl_1_1,-0.264,-0.2408886720617901
paper_box_4_8,-0.044,-0.2796835438566617
cup_5_2,-0.318,-0.2639143130874307
tray_8_1,-0.072,-0.3423566207797387
bowl_5_3,-0.035,-0.2952091848823025
to_go_cup_7_4,-0.032,-0.2569591848823028
to_go_cup_10_2,-0.059,-0.2463822618053797
ball_6_5,-0.058,-0.0735873900105077
bowl_6_7,-0.05,-0.2662220053951233
metal_box_9_9,-0.167,-0.5095681592412771
book_7_1,-0.465,-0.259113031036149
